Distance_(pixels),Gray_Value,
879,5.429,0.027236241
880,5.107,0.02562083
881,4.946,0.024813124
882,5.192,0.026047258
883,5.853,0.029363367
884,5.473,0.027456981
885,5.156,0.025866653
886,5.326,0.02671951
887,5.879,0.029493804
888,5.634,0.028264687
889,6.254,0.031375107
890,6.147,0.030838308
891,5.638,0.028284754
892,5.71,0.028645964
893,5.946,0.02982993
894,5.817,0.029182762
895,6.121,0.030707871
896,6.125,0.030727939
897,5.513,0.027657653
898,6.96,0.034916972
899,5.804,0.029117544
900,6.312,0.031666081
901,6.116,0.030682787
902,6.21,0.031154367
903,8.089,0.040580946
904,6.42,0.032207896
905,6.674,0.033482165
906,6.955,0.034891888
907,6.942,0.034826669
908,7.022,0.035228014
909,6.902,0.034625997
910,7.54,0.03782672
911,7.754,0.038900316
912,8.812,0.044208097
913,7.616,0.038207997
914,8.237,0.041323434
915,8.107,0.040671249
916,8.616,0.043224803
917,8.683,0.043560929
918,8.799,0.044142879
919,10.147,0.050905534
920,11.549,0.057939096
921,10.875,0.054557769
922,14.906,0.074780515
923,15.683,0.078678573
924,14.612,0.073305574
925,25.781,0.129338283
926,38.344,0.192364421
927,45.781,0.229674409
928,49.424,0.247950635
929,51.866,0.260201676
930,52.991,0.265845583
931,54.103,0.271424271
932,53.027,0.266026188
933,53.634,0.269071389
934,51.862,0.260181608
935,48.647,0.244052576
936,54.781,0.274825666
937,55.058,0.276215321
938,46.464,0.233100888
939,36.317,0.182195354
940,27.045,0.135679526
941,22.317,0.111960066
942,19.71,0.098881252
943,17.625,0.088421211
944,16.384,0.082195354
945,15.509,0.077805649
946,14.879,0.074645061
947,14.987,0.075186876
948,15.286,0.076686901
949,13.643,0.068444288
950,13.237,0.066407465
951,13.031,0.065374003
952,13.094,0.065690062
953,12.616,0.063292028
954,12.362,0.062017759
955,12.612,0.063271961
956,12.826,0.064345558
957,12.509,0.06275523
958,12.415,0.06228365
959,12.036,0.060382281
960,11.589,0.058139768
961,12.085,0.060628104
962,12.089,0.060648171
963,11.929,0.059845482
964,12.915,0.064792053
965,12.469,0.062554558
966,13.067,0.065554608
967,14.433,0.072407565
968,13.009,0.065263633
969,15.835,0.079441128
970,17.96,0.090101841
971,16.897,0.084768976
972,25.317,0.127010485
973,36.558,0.183404405
974,43.741,0.219440124
975,47.71,0.239351829
976,50.036,0.25102092
977,51.152,0.256619676
978,52.192,0.261837154
979,51.071,0.256213315
980,51.656,0.259148146
981,51.152,0.256619676
982,47.192,0.236753123
983,51.254,0.25713139
984,53.54,0.268599809
985,46.446,0.233010585
986,36.946,0.185350926
987,28.772,0.144343551
988,23.987,0.120338133
989,21.415,0.107434907
990,19.482,0.09773742
991,18.147,0.091039984
992,17.696,0.088777404
993,17.652,0.088556665
994,17.732,0.088958009
995,18.129,0.090949681
996,16.987,0.085220489
997,18.429,0.092454723
998,18.911,0.094872824
999,19.478,0.097717353
1000,21.071,0.105709126
1001,23.027,0.115521999
1002,25.134,0.12609241
1003,28.147,0.141208047
1004,30.433,0.152676466
1005,32.174,0.161410726
1006,33.549,0.168308835
1007,34.326,0.172206893
1008,34.835,0.174760447
1009,35.232,0.17675212
1010,35.393,0.177559825
1011,35.254,0.176862489
1012,34.781,0.17448954
1013,34.121,0.171178448
1014,33.473,0.167927557
1015,31.777,0.159419054
1016,29.625,0.148622887
1017,27.558,0.138253148
1018,25.643,0.128645964
1019,23.08,0.115787889
1020,22.487,0.112812923
1021,21.884,0.109787789
1022,21.071,0.105709126
1023,21.067,0.105689058
1024,20.478,0.102734159
1025,19.96,0.100135454
1026,20.442,0.102553554
1027,20.527,0.102979983
1028,20.866,0.10468068
1029,20.902,0.104861285
1030,20.839,0.104545227
1031,21.161,0.106160638
1032,21.192,0.106316159
1033,21.875,0.109742638
1034,22.647,0.113615612
1035,22.129,0.111016907
1036,22.83,0.114533688
1037,22.879,0.114779511
1038,23.589,0.118341444
1039,23.737,0.119083931
1040,23.933,0.120067225
1041,24.545,0.123137511
1042,25.366,0.127256309
1043,25.692,0.128891787
1044,26.116,0.131018913
1045,26.562,0.133256409
1046,26.902,0.134962123
1047,27.339,0.137154467
1048,27.42,0.137560829
1049,28.027,0.14060603
1050,28.509,0.143024131
1051,28.929,0.145131189
1052,29.107,0.146024181
1053,29.08,0.145888727
1054,29.469,0.147840265
1055,29.634,0.148668038
1056,29.821,0.149606181
1057,30.196,0.151487483
1058,30.179,0.151402197
1059,30.183,0.151422265
1060,30.339,0.152204886
1061,30.585,0.153439021
1062,30.821,0.154622987
1063,30.746,0.154246727
1064,31.196,0.156504289
1065,30.388,0.15245071
1066,31.286,0.156955802
1067,30.594,0.153484172
1068,30.451,0.152766769
1069,30.955,0.155295239
1070,31.25,0.156775197
1071,31.223,0.156639743
1072,31.138,0.156213315
1073,31.174,0.15639392
1074,31.388,0.157467516
1075,31.366,0.157357146
1076,31.701,0.159037777
1077,31.393,0.1574926
1078,31.576,0.158410676
1079,31.58,0.158430743
1080,30.964,0.15534039
1081,31.384,0.157447449
1082,31.089,0.155967491
1083,31.286,0.156955802
1084,31.375,0.157402298
1085,31.268,0.156865499
